X,Y,fid,OBJECTID,wm_ElementGuid,wmPhaseOrder,wmIsDead,wmBaseKv,wmIsModified,wmXCoordinate,wmNumberOfChildren,wmUplineFeeder,wmConsumerElementsDownline,wmProjectName,wmUplineDevice,wmUplineTransformer,wmPhasing,wmY2Coordinate,wmGraphicalLength,wmParent,wmYCoordinate,wmUplineElement,wmX2Coordinate,wmParentType,wmIsDeadC,wmIsDeadB,wmIsDeadA,wmUplineSource,wmUplineFeederNumber,wmType,wmMapName,wmUserTag,wmElementName,wmNumberOfPhases,wmNominalLLVoltage,wmNominalLGVoltage,wmSourceFeederColor,wmBusVoltage,wmSourceConnection,wmSubNumber,wmOHGroundOhms,wmSymbolRotation,wmSEDC_Districts_shp_Code,wmCounty_shp_Code,wmSubdivisions_shp_SUBDIVID,wmSEDC_Districts_shp_District,wmCounty_shp_NAME,wmBoardDist_shp_Code,wmGrid_shp_X,wmfire_shp_Action,wmSEDC_Districts_shp_Id,wmCounty_shp_Y,wmGrid_shp_OBJECTID,wmSchoolDist_shp_Action,wmROWZones2023_shp_Zone,Substation,Transformer,icon_url
-90.7757993229987,38.7656292243101,"23","23",{A64ED62B-B234-4CE6-9AA6-AC35C4E04559},ABC,false,14.3999996185303,false,741571.7757969,"1",,"2499",2023-05-05 14.01.14.341,,,ABC,1067749.925042,0,,1067749.925042,,741571.7757969,,false,false,false,Dardenne T1,"0",Source,,,Dardenne T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"481",40,0,"31","01",,South S1,St. Charles,"12","0.00000000000e+000",,"0","1.40806783913e+007","1951",,"01",Dardenne , T1,./0.png
-90.876120965585,38.7479525512048,"24","24",{7DDA6CEE-62DD-4A96-883A-894D1B328CE7},ABC,false,14.3999996185303,false,712941.1732702,"1",,"1067",2023-05-05 14.01.14.341,,,ABC,1061414.404025,0,,1061414.404025,,712941.1732702,,false,false,false,New Melle T1,"0",Source,,,New Melle T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"471",40,0,"31","01",,South S1,St. Charles,"12","2.24546245156e+006",,"0","1.40806783913e+007","1841",,"02",New ,T1,./0.png
-90.7894230786295,38.8007146677947,"25","25",{93A235F7-1672-43A9-86BF-2208F171ECA7},ABC,false,7.19999980926514,false,737727.7562322,"1",,"1638",2023-05-05 14.01.14.341,,,ABC,1080539.553255,0,,1080539.553255,,737727.7562322,,false,false,false,LSL T2,"0",Source,,,LSL T2,Three Phase,12470.765625,7200,"0",125.999992370605,Wye,"402",40,0,"31","01","88",South S1,St. Charles,"13","2.27166176998e+006",,"0","1.40806783913e+007","579",,"01",LSL , T2,./0.png
-90.8425118754699,38.9913636046004,"26","26",{8EAFE4CA-B039-4C95-A32D-503ABC57B511},ABC,false,14.3999996185303,false,722858.9598578,"1",,"2557",2023-05-05 14.01.14.341,,,ABC,1150024.979632,0,,1150024.979632,,722858.9598578,,false,false,false,Troy T1,"0",Source,,,Troy T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"261",40,0,"21","02",,North N1,Lincoln,"23","2.25083903439e+006",,"0","1.41870779034e+007","1283",,"09",Troy , T1,./0.png
-90.8425209073266,38.9911405600952,"27","27",{388D8E62-42CC-46A6-95C8-E04F2A3E683A},ABC,false,14.3999996185303,false,722856.0869935,"1",,"3138",2023-05-05 14.01.14.341,,,ABC,1149943.756527,0,,1149943.756527,,722856.0869935,,false,false,false,Troy T2,"0",Source,,,Troy T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"262",40,0,"21","02",,North N1,Lincoln,"23","2.25083903439e+006",,"0","1.41870779034e+007","1283",,"09",Troy , T2,./0.png
-90.627882325594,38.7274952408581,"28","28",{5636D3CA-EC74-4F56-8D9D-59802B44B5C6},ABC,false,14.3999996185303,false,783726.9379519,"2",,"2411",2023-05-05 14.01.14.341,,,ABC,1053769.122482,0,,1053769.122482,,783726.9379519,,false,false,false,Kisker T2,"0",Source,,,Kisker T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"502",40,0,"32","01",,South S2,St. Charles,"15","2.31455764624e+006",,"0","1.40806783913e+007","1721",,"01",Kisker , T2,./0.png
-90.6277345882738,38.7275938199126,"29","29",{47741EB7-F66B-4F97-8AAB-51B4E4A43F0F},ABC,false,14.3999996185303,false,783769.13406,"1",,"2210",2023-05-05 14.01.14.341,,,ABC,1053804.964411,0,,1053804.964411,,783769.13406,,false,false,false,Kisker T4,"0",Source,,,Kisker T4,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"504",40,0,"32","01",,South S2,St. Charles,"15","2.31455764624e+006",,"0","1.40806783913e+007","1721",,"01",Kisker , T4,./0.png
-90.6277423013213,38.7274062915851,"30","30",{4CFF9AC3-093A-4EB5-954B-F498886E261C},ABC,false,14.3999996185303,false,783766.8382794,"2",,"2070",2023-05-05 14.01.14.341,,,ABC,1053736.672956,0,,1053736.672956,,783766.8382794,,false,false,false,Kisker T1,"0",Source,,,Kisker T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"501",40,0,"32","01",,South S2,St. Charles,"15","2.31455764624e+006",,"0","1.40806783913e+007","1721",,"01",Kisker , T1,./0.png
-91.3092698262737,38.7706177568281,"31","31",{40D03B0C-0FF8-4F02-9F5D-41B0A29EC6BE},ABC,false,14.3999996185303,false,589481.294183,"1",,"940",2023-05-05 14.01.14.341,,,ABC,1070469.067558,0,,1070469.067558,,589481.294183,,false,false,false,Lost Creek T1,"0",Source,,,Lost Creek T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"431",40,0,"22","03",,North N2,Warren,"32","2.12115863287e+006",,"0","1.40846158664e+007","1001",,"04",Lost Creek,T1,./0.png
-91.1419925019107,38.7297792184777,"32","32",{118EBBDA-AC59-482D-9B4E-09524F18020C},ABC,false,14.3999996185303,false,637069.174547842,"1",,"1676",2023-05-05 14.01.14.341,,,ABC,1055217.83591789,0,,1055217.83591789,,637069.174547842,,false,false,false,Charrette T1,"0",Source,,,Charrette T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"451",40,0,"34","03",,South N2,Warren,"33","2.17079659660e+006",,"0","1.40846158664e+007","525",,"03",Charrette , T1,./0.png
-90.8263351308822,38.7532156687063,"33","33",{3D733B56-B175-4721-8F95-5890E33B5938},ABC,false,14.3999996185303,false,727146.670840716,"1",,"2856",Hopwell Sub Cleanup,,,ABC,1063276.59172848,0,,1063276.59172848,,727146.670840716,,false,false,false,Hopewell T1,"0",Source,,,Hopewell T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"485",40,0,"31","01",,South S1,St. Charles,"12","2.26080901956e+006",,"0","1.40806783913e+007","1789",,"01",Hopewell , T1,./0.png
-90.8657290722722,39.0678821324393,"34","34",{C447DBE4-75E5-46A2-9B40-04B8DF59E90A},ABC,false,14.3999996185303,false,716372.1069906,"1",,"2167",2023-05-05 14.01.14.341,,,ABC,1177918.733257,0,,1177918.733257,,716372.1069906,,false,false,false,Brussels T1,"0",Source,,,Brussels T1,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"201",40,0,"21","02",,North N1,Lincoln,"22","2.24518209087e+006",,"0","1.41870779034e+007","1105",,"09",Brussels , T1,./0.png
-91.0117682331908,38.8780507510219,"35","35",{2162B748-7C83-4DAA-8A67-04CC892956DF},ABC,false,14.3999996185303,false,674520.4815725,"1",,"1625",2023-05-05 14.01.14.341,,,ABC,1108982.766134,0,,1108982.766134,,674520.4815725,,false,false,false,Big Creek T3,"0",Source,,,Big Creek T3,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"313",40,0,"22","02",,North N2,Lincoln,"23","2.20804136518e+006",,"0","1.41870779034e+007","1233",,"08",Big Creek,T3,./0.png
-90.8262878781062,38.7535416742314,"36","36",{0A15675F-0986-4524-ACF3-C1E52873ED12},ABC,false,14.3999996185303,false,727160.56927821,"1",,"3136",Hopwell Sub Cleanup,,,ABC,1063395.26960753,0,,1063395.26960753,,727160.56927821,,false,false,false,Hopewell T2,"0",Source,,,Hopewell T2,Three Phase,24941.53125,14400,"0",125.999992370605,Wye,"486",40,0,"31","01",,South S1,St. Charles,"12","2.26080901956e+006",,"0","1.40806783913e+007","1789",,"01",Hopewell , T2,./0.png
